hari,Time,latency_ms,packet_loss_percent,bits_sent_mbps,bits_received_mbps,total_traffic_mbps,latency_z,packet_loss_z,total_traffic_z,cluster_raw,tingkat_gangguan
Senin,2026-07-06 09:12:00,1.0919999999999999,0.0,2.46,23.7,26.16,-0.3779471330732482,-0.12446097204675334,0.9959477317514662,0,Rendah
Senin,2026-07-06 09:15:00,1.1433333333333333,0.0,1.81,22.1,23.91,-0.3042159972470852,-0.12446097204675334,0.8220320572324611,0,Rendah
Senin,2026-07-06 09:18:00,1.163,0.0,1.82,15.5,17.32,-0.27596835430069805,-0.12446097204675334,0.3126523705301307,0,Rendah
Senin,2026-07-06 09:21:00,1.3133333333333332,0.0,1.34,15.1,16.44,-0.060041456524078565,-0.12446097204675334,0.2446320178293643,0,Rendah
Senin,2026-07-06 09:24:00,1.2186666666666666,0.0,0.778,8.95,9.728,-0.19601316155414505,-0.12446097204675334,-0.2741777632246634,0,Rendah
Senin,2026-07-06 09:27:00,1.4966666666666668,0.0,1.27,18.7,19.97,0.2032840285693604,-0.12446097204675334,0.5174863871858476,0,Rendah
Senin,2026-07-06 09:30:00,1.33,0.0,3.37,10.5,13.870000000000001,-0.036102776061038455,-0.12446097204675334,0.04598166960098958,0,Rendah
Senin,2026-07-06 09:33:00,1.3233333333333333,0.0,1.28,12.0,13.28,-0.045678248246254625,-0.12446097204675334,0.0003771149493392332,0,Rendah
Senin,2026-07-06 09:36:00,1.2533333333333332,0.0,1.16,12.3,13.46,-0.14622070619102218,-0.12446097204675334,0.014290368910859755,0,Rendah
Senin,2026-07-06 09:39:00,1.83,0.0,1.12,6.83,7.95,0.6820576378301577,-0.12446097204675334,-0.4116097940223483,0,Rendah
Senin,2026-07-06 09:42:00,1.3666666666666665,0.0,3.08,6.98,10.06,0.016562320957648886,-0.12446097204675334,-0.2485155392511924,0,Rendah
Senin,2026-07-06 09:45:00,1.3133333333333332,0.0,0.769,4.47,5.239,-0.060041456524078565,-0.12446097204675334,-0.6211588578539141,0,Rendah
Senin,2026-07-06 09:48:00,1.3399999999999999,0.0,0.666,3.78,4.446,-0.021739567783214838,-0.12446097204675334,-0.6824544711399456,0,Rendah
Senin,2026-07-06 09:51:00,1.25,0.0,0.956,5.88,6.836,-0.15100844228362995,-0.12446097204675334,-0.49771737687309126,0,Rendah
Senin,2026-07-06 09:54:00,2.0066666666666664,0.0,1.95,12.9,14.85,0.9358076507383799,-0.12446097204675334,0.12173160783593391,0,Rendah
Senin,2026-07-06 09:57:00,1.351,0.0,2.23,20.0,22.23,-0.005940038677608349,-0.12446097204675334,0.6921750202582706,0,Rendah
Senin,2026-07-06 10:00:00,1.4133333333333333,0.0,1.66,23.3,24.96,0.0835906262541608,-0.12446097204675334,0.9031927053413302,0,Rendah
Senin,2026-07-06 10:03:00,1.0866666666666667,0.0,1.88,28.4,30.279999999999998,-0.3856075108214207,-0.12446097204675334,1.3144066557595997,0,Rendah
Senin,2026-07-06 10:06:00,1.2033333333333334,0.0,1.95,27.8,29.75,-0.21803674758014155,-0.12446097204675334,1.2734398524284567,0,Rendah
